iter	Passed	Remaining
568	84982	64371
569	85125	64217
570	85270	64064
571	85417	63913
572	85568	63766
573	85719	63617
574	85863	63464
575	86006	63310
576	86148	63155
577	86312	63017
578	86473	62876
579	86634	62735
580	86793	62592
581	86952	62450
582	87089	62292
583	87233	62138
584	87373	61983
585	87517	61829
586	87663	61677
587	87805	61523
588	87948	61369
589	88092	61216
590	88238	61065
591	88383	60913
592	88527	60759
593	88673	60608
594	88815	60454
595	88958	60300
596	89098	60145
597	89244	59993
598	89387	59840
599	89530	59686
600	89676	59535
601	89817	59380
602	89960	59227
603	90103	59074
604	90247	58922
605	90390	58768
606	90536	58617
607	90687	58469
608	90837	58320
609	90980	58167
610	91121	58013
611	91263	57860
612	91408	57707
613	91550	57554
614	91696	57403
615	91842	57252
616	91984	57099
617	92126	56945
618	92269	56792
619	92413	56640
620	92557	56488
621	92700	56335
622	92844	56183
623	92987	56030
624	93129	55877
625	93274	55726
626	93423	55577
627	93570	55427
628	93714	55274
629	93860	55124
630	94007	54974
631	94155	54824
632	94343	54698
633	94519	54564
634	94676	54420
635	94818	54267
636	94970	54119
637	95120	53971
638	95269	53821
639	95421	53674
640	95572	53526
641	95719	53376
642	95880	53233
643	96032	53086
644	96184	52938
645	96361	52805
646	96525	52663
647	96675	52515
648	96823	52365
649	96981	52220
650	97141	52077
651	97293	51929
652	97438	51778
653	97599	51635
654	97760	51492
655	97902	51339
656	98049	51188
657	98194	51037
658	98341	50886
659	98484	50734
660	98629	50583
661	98773	50430
662	98918	50279
663	99063	50128
664	99210	49978
665	99359	49829
666	99505	49678
667	99652	49527
668	99797	49376
669	99940	49224
670	100088	49074
671	100233	48923
672	100377	48771
673	100521	48620
674	100667	48469
675	100809	48317
676	100954	48165
677	101107	48018
678	101255	47868
679	101397	47716
680	101545	47567
681	101695	47418
682	101839	47266
683	101983	47115
684	102131	46965
685	102273	46813
686	102421	46663
687	102572	46515
688	102715	46363
689	102861	46213
690	103006	46062
691	103150	45910
692	103295	45759
693	103440	45609
694	103587	45459
695	103730	45307
696	103873	45156
697	104018	45004
698	104164	44854
699	104308	44703
700	104453	44553
701	104598	44402
702	104743	44251
703	104888	44100
704	105033	43950
705	105200	43808
706	105349	43659
707	105506	43513
708	105661	43367
709	105825	43224
710	105975	43075
711	106137	42932
712	106282	42781
713	106428	42631
714	106576	42481
715	106721	42331
716	106872	42182
717	107014	42030
718	107158	41879
719	107302	41728
720	107448	41578
721	107596	41429
722	107742	41278
723	107890	41129
724	108035	40978
725	108184	40829
726	108336	40682
727	108495	40536
728	108647	40388
729	108799	40240
730	108949	40092
731	109091	39940
732	109243	39792
733	109389	39642
734	109536	39492
735	109685	39343
736	109834	39194
737	109992	39048
738	110143	38900
739	110301	38754
740	110488	38618
741	110630	38467
742	110774	38316
743	110918	38165
744	111062	38014
745	111206	37863
746	111356	37715
747	111544	37579
748	111701	37432
749	111852	37284
750	112014	37139
751	112154	36987
752	112304	36838
753	112464	36692
754	112650	36555
755	112830	36416
756	112996	36272
757	113152	36125
758	113307	35977
759	113465	35831
760	113617	35682
761	113768	35534
762	113919	35385
763	114069	35236
764	114241	35093
765	114399	34947
766	114549	34797
767	114716	34654
768	114869	34505
769	115016	34355
770	115161	34205
771	115309	34055
772	115458	33905
773	115609	33756
774	115764	33609
775	115921	33461
776	116085	33316
777	116236	33167
778	116383	33017
779	116537	32869
780	116695	32722
781	116856	32576
782	117011	32428
783	117174	32282
784	117343	32138
785	117508	31993
786	117662	31845
787	117812	31695
788	117960	31545
789	118106	31395
790	118252	31245
791	118399	31094
792	118550	30945
793	118696	30795
794	118840	30644
795	118985	30493
796	119129	30342
797	119275	30192
798	119420	30041
799	119566	29891
800	119710	29740
801	119857	29590
802	120008	29441
803	120154	29291
804	120301	29141
805	120443	28990
806	120591	28840
807	120741	28691
808	120885	28540
809	121030	28389
810	121175	28239
811	121331	28091
812	121519	27950
813	121682	27804
814	121843	27657
815	121985	27506
816	122137	27357
817	122288	27208
818	122441	27059
819	122593	26910
820	122765	26766
821	122957	26625
822	123104	26475
823	123247	26324
824	123405	26177
825	123566	26029
826	123735	25884
827	123882	25734
828	124037	25585
829	124185	25435
830	124341	25287
831	124504	25140
832	124672	24994
833	124833	24847
834	124984	24697
835	125165	24553
836	125320	24405
837	125473	24256
838	125636	24108
839	125828	23967
840	125981	23818
841	126133	23668
842	126288	23519
843	126430	23368
844	126574	23217
845	126718	23066
846	126866	22916
847	127018	22767
848	127174	22618
849	127321	22468
850	127466	22317
851	127616	22168
852	127760	22017
853	127902	21866
854	128043	21714
855	128186	21564
856	128342	21415
857	128498	21266
858	128645	21116
859	128790	20965
860	128934	20815
861	129076	20664
862	129219	20513
863	129362	20362
864	129511	20212
865	129675	20065
866	129840	19917
867	129988	19767
868	130135	19617
869	130281	19467
870	130427	19317
871	130578	19167
872	130724	19017
873	130873	18867
874	131026	18718
875	131169	18567
876	131312	18416
877	131454	18265
878	131601	18115
879	131745	17965
880	131888	17814
881	132040	17665
882	132215	17518
883	132368	17369
884	132518	17219
885	132663	17069
886	132813	16919
887	132959	16769
888	133104	16619
889	133254	16469
890	133398	16319
891	133546	16169
892	133692	16019
893	133837	15868
894	133986	15719
895	134131	15568
896	134275	15418
897	134417	15267
898	134561	15117
899	134702	14966
900	134854	14817
901	135003	14667
902	135167	14519
903	135318	14370
904	135479	14221
905	135640	14073
906	135798	13924
907	135958	13775
908	136111	13626
909	136268	13477
910	136424	13327
911	136573	13178
912	136724	13028
913	136875	12878
914	137028	12729
915	137177	12579
916	137331	12430
917	137481	12280
918	137623	12129
919	137766	11979
920	137919	11830
921	138079	11681
922	138262	11534
923	138413	11384
924	138566	11235
925	138718	11085
926	138867	10935
927	139024	10786
928	139183	10637
929	139331	10487
930	139481	10337
931	139638	10188
932	139797	10039
933	139954	9889
934	140111	9740
935	140269	9591
936	140439	9442
937	140607	9293
938	140758	9144
939	140911	8994
940	141063	8844
941	141206	8694
942	141369	8545
943	141522	8395
944	141681	8245
945	141843	8096
946	142002	7947
947	142147	7797
948	142296	7647
949	142450	7497
950	142622	7348
951	142803	7200
952	142976	7051
953	143141	6902
954	143309	6752
955	143476	6603
956	143636	6453
957	143796	6304
958	143957	6154
959	144126	6005
960	144291	5855
961	144464	5706
962	144627	5556
963	144798	5407
964	144964	5257
965	145128	5108
966	145295	4958
967	145462	4808
968	145628	4658
969	145791	4509
970	145950	4358
971	146110	4208
972	146275	4059
973	146442	3909
974	146603	3759
975	146768	3609
976	146959	3459
977	147143	3309
978	147318	3160
979	147494	3010
980	147671	2860
981	147818	2709
982	147968	2558
983	148116	2408
984	148268	2257
985	148426	2107
986	148574	1956
987	148718	1806
988	148859	1655
989	149002	1505
990	149147	1354
991	149290	1203
992	149445	1053
993	149602	903
994	149754	752
995	149906	602
996	150063	451
997	150215	301
998	150365	150
999	150516	0
