iter	MultiClass
0	0.6172456163
1	0.5610058355
2	0.5209755968
3	0.487476061
4	0.4591644873
5	0.435498455
6	0.421736459
7	0.4052530898
8	0.385811015
9	0.3729936305
10	0.3551119024
11	0.3454232051
12	0.3326248692
13	0.3199296431
14	0.308329818
15	0.3009352929
16	0.2900569135
17	0.2778085233
18	0.2676310845
19	0.2565673165
20	0.2476934688
21	0.2419177649
22	0.2338451552
23	0.2259820478
24	0.2205425256
25	0.2136254166
26	0.2086801535
27	0.2019389707
28	0.1972783142
29	0.1930111183
30	0.1843809555
31	0.1782771914
32	0.1722540542
33	0.1672801489
34	0.1612125864
35	0.1562067141
36	0.1518574421
37	0.1463549073
38	0.1401121448
39	0.1357935644
40	0.1308038095
41	0.126858681
42	0.1217655215
43	0.1178784104
44	0.1149307213
45	0.110912744
46	0.1044090549
47	0.1005704922
48	0.09783751978
49	0.09524877422
50	0.0921050854
51	0.08956858193
52	0.08792222511
53	0.08321564738
54	0.08020941406
55	0.07761640294
56	0.07494511151
57	0.0723954472
58	0.07056859064
59	0.0683573057
60	0.06742051483
61	0.06509772404
62	0.06290417407
63	0.06129353508
64	0.05962851237
65	0.05803007804
66	0.05658924794
67	0.05401797955
68	0.05239876898
69	0.05085735122
70	0.04902950921
71	0.04787634026
72	0.04648477802
73	0.04551060036
74	0.04445517102
75	0.04331692505
76	0.04252096491
77	0.04163819552
78	0.04092823218
79	0.03988790962
80	0.03869963088
81	0.03783292398
82	0.03680866515
83	0.03516503493
84	0.03432364046
85	0.03373311914
86	0.03239502384
87	0.03164012129
88	0.03071522282
89	0.02950273982
90	0.02889761002
91	0.0280756067
92	0.02766149365
93	0.02670899597
94	0.02594932146
95	0.02517912938
96	0.02443719868
97	0.02392612733
98	0.02317358213
99	0.02257600793
100	0.02181331265
101	0.02129431478
102	0.0207247008
103	0.02015717706
104	0.01967521393
105	0.01920461811
106	0.01870194059
107	0.01826944863
108	0.01789351131
109	0.01759223012
110	0.01716421169
111	0.01671376655
112	0.01636726838
113	0.01600691989
114	0.01563445949
115	0.01506631418
116	0.01461487026
117	0.0143280088
118	0.01400614776
119	0.01361877072
120	0.0132834366
121	0.01293305913
122	0.01263062735
123	0.0122790316
124	0.0120770723
125	0.01178920607
126	0.01144815759
127	0.01130505897
128	0.01105444321
129	0.01083061261
130	0.01065557901
131	0.0104872543
132	0.01030815087
133	0.01012571154
134	0.009847702242
135	0.009717450942
136	0.009478367399
137	0.009299837336
138	0.009128895911
139	0.008994985718
140	0.008662807951
141	0.008473677729
142	0.008174288789
143	0.007927058888
144	0.007793635258
145	0.007658038667
146	0.007512739585
147	0.007430962202
148	0.007232027148
149	0.006964441387
150	0.006821210328
151	0.006627230939
152	0.006506860197
153	0.006374420781
154	0.006240321021
155	0.006053082914
156	0.005968461181
157	0.005866943517
158	0.005846940689
159	0.00576626112
160	0.005618444264
161	0.005462464268
162	0.005336496123
163	0.005249845834
164	0.005146289781
165	0.005033243994
166	0.004938725312
167	0.004844769984
168	0.004787540079
169	0.004688645809
170	0.004620028347
171	0.004558723383
172	0.004494412867
173	0.004432350087
174	0.004347897208
175	0.004264515341
176	0.004199970469
177	0.004128909376
178	0.004049055637
179	0.003971603617
180	0.0038970763
181	0.00382504315
182	0.003739541303
183	0.003691159358
184	0.003658051796
185	0.003597426533
186	0.00352377704
187	0.00347255455
188	0.0033805375
189	0.003302179182
190	0.003246397078
191	0.003188220558
192	0.00315361542
193	0.003086961884
194	0.003053510087
195	0.003009226361
196	0.002958723466
197	0.002892203755
198	0.002848397314
199	0.002790483914
200	0.002744754925
201	0.00271170027
202	0.002676189599
203	0.002630726491
204	0.002603635639
205	0.002571957331
206	0.002550794533
207	0.002517564092
208	0.002465757181
209	0.002432128228
210	0.002401722505
211	0.002361330877
212	0.00234392708
213	0.002318217104
214	0.002289783389
215	0.0022785154
216	0.00225823631
217	0.00221961402
218	0.002179204845
219	0.002156329175
220	0.002130348417
221	0.002106812147
222	0.002083773312
223	0.002056907653
224	0.002040157953
225	0.002013194769
226	0.001987971895
227	0.001972429164
228	0.001955281414
229	0.001923199357
230	0.001893177023
231	0.001859060964
232	0.001841605686
233	0.001809471655
234	0.001787715376
235	0.001765679676
236	0.001746944632
237	0.001730863749
238	0.001705337281
239	0.001679601983
240	0.001657775763
241	0.001642036266
242	0.001616676379
243	0.001592151871
244	0.001573874762
245	0.001551610694
246	0.001532766396
247	0.001511600362
248	0.001501475344
249	0.001479156889
250	0.001461478322
251	0.001445118957
252	0.001427380286
253	0.001418527335
254	0.001393702705
255	0.001372691232
256	0.001360860887
257	0.001348791509
258	0.001333908536
259	0.001316060008
260	0.001298296761
261	0.001283222085
262	0.001271795622
263	0.001266437245
264	0.001257454002
265	0.001242656889
266	0.001227831777
267	0.00121806561
268	0.001211565639
269	0.00120070939
270	0.001193886036
271	0.001176281166
272	0.001160883153
273	0.001149532598
274	0.001129416446
275	0.001120139248
276	0.001106927963
277	0.001103472717
278	0.00109388187
279	0.001082432703
280	0.001070099855
281	0.001061440455
282	0.001049126254
283	0.001039881828
284	0.001031235771
285	0.001016176348
286	0.001006110096
287	0.0009922641174
288	0.0009800506086
289	0.0009653408227
290	0.0009501758367
291	0.0009360777149
292	0.0009245209544
293	0.000917030623
294	0.0009112338887
295	0.0009021501223
296	0.0008964316659
297	0.0008844550605
298	0.000880246797
299	0.000871090531
300	0.0008635993956
301	0.0008563358461
302	0.0008488447707
303	0.0008438674097
304	0.0008362646675
305	0.000828060832
306	0.0008221217513
307	0.0008176211896
308	0.0008096337915
309	0.0008017683553
310	0.0007926166993
311	0.0007809017376
312	0.0007755921835
313	0.0007719604251
314	0.0007679845108
315	0.0007616081259
316	0.0007539518046
317	0.0007502305603
318	0.0007437421637
319	0.0007359621772
320	0.0007325372942
321	0.0007260184778
322	0.0007209976491
323	0.000714413644
324	0.0007118687161
325	0.0007063421948
326	0.0006995432309
327	0.000691574266
328	0.0006853782145
329	0.0006799088044
330	0.0006774772671
331	0.0006754161085
332	0.0006699958268
333	0.0006620347613
334	0.000655644977
335	0.0006535489689
336	0.0006511723202
337	0.0006471038854
338	0.0006422866133
339	0.0006388710557
340	0.0006355238238
341	0.000631986032
342	0.0006282355831
343	0.0006204111344
344	0.0006144103653
345	0.0006090370327
346	0.0006067420265
347	0.0006033188676
348	0.0005983604671
349	0.0005925049633
350	0.0005887767593
351	0.0005848789405
352	0.0005810894102
353	0.00057847861
354	0.0005764993125
355	0.0005716738207
356	0.0005650988577
357	0.0005620968672
358	0.0005551349668
359	0.0005518890378
360	0.0005485449418
361	0.0005451896454
362	0.000542113282
363	0.0005386459051
364	0.0005362452708
365	0.0005300628174
366	0.0005279722867
367	0.0005233613922
368	0.0005204301323
369	0.0005191143732
370	0.0005153948852
371	0.0005119766067
372	0.0005097810155
373	0.0005057101328
374	0.0005027680114
375	0.0005013332098
376	0.0004985296247
377	0.0004953644301
378	0.000492615029
379	0.0004911241736
380	0.000488612082
381	0.000485957178
382	0.0004818079302
383	0.000479058554
384	0.0004766997599
385	0.000473195393
386	0.0004693054714
387	0.000466399531
388	0.00046273829
389	0.0004580985473
390	0.0004541389438
391	0.0004513250571
392	0.0004491406276
393	0.00044637508
394	0.0004436031931
395	0.0004409523022
396	0.0004375496956
397	0.0004345091207
398	0.0004305554402
399	0.0004265713036
400	0.0004249124609
401	0.0004214660564
402	0.0004179197987
403	0.0004161454272
404	0.0004128861606
405	0.0004108623066
406	0.000409299882
407	0.0004066645096
408	0.0004024896706
409	0.0003995086272
410	0.0003977903562
411	0.0003955875889
412	0.0003932334528
413	0.0003901239674
414	0.0003867497781
415	0.0003848198795
416	0.0003839537759
417	0.0003822393355
418	0.0003793473735
419	0.0003767601207
420	0.0003751560699
421	0.0003736496054
422	0.0003726626725
423	0.0003692803131
424	0.0003670710353
425	0.0003640425339
426	0.0003615452478
427	0.0003583039851
428	0.000356576856
429	0.0003550905504
430	0.0003538910819
431	0.0003528790457
432	0.0003511443026
433	0.0003495335651
434	0.0003483452002
435	0.0003476243621
436	0.0003465092733
437	0.0003436151464
438	0.0003417457148
439	0.000340108362
440	0.0003378494042
441	0.0003365081773
442	0.0003338618705
443	0.0003322521247
444	0.0003306788719
445	0.0003279512715
446	0.0003242948678
447	0.0003225183739
448	0.0003216391102
449	0.0003207025105
450	0.0003180581975
451	0.0003169645531
452	0.000315108692
453	0.0003133871744
454	0.0003117052401
455	0.0003104186075
456	0.0003091652108
457	0.0003082419459
458	0.0003075157993
459	0.000305250368
460	0.0003040491087
461	0.000303412556
462	0.0003018558845
463	0.0003003475432
464	0.0002984280966
465	0.0002967880295
466	0.0002955046586
467	0.0002939728644
468	0.000292109504
469	0.0002910615829
470	0.0002903169188
471	0.0002888021036
472	0.0002874881662
473	0.0002860613366
474	0.0002855826678
475	0.0002844120505
476	0.0002829905482
477	0.0002814989933
478	0.0002798841861
479	0.0002788454265
480	0.000277510347
481	0.0002759116236
482	0.0002745478339
483	0.0002733335943
484	0.000271530747
485	0.0002703353881
486	0.0002688797505
487	0.0002676423604
488	0.0002664968031
489	0.0002646396554
490	0.0002637427374
491	0.0002626387955
492	0.0002620598144
493	0.0002606250883
494	0.0002590056075
495	0.0002573585841
496	0.0002562458566
497	0.0002549777848
498	0.0002539436421
499	0.0002528436408
500	0.0002511340521
501	0.0002504054434
502	0.0002499424857
503	0.0002488661281
504	0.0002477301394
505	0.0002473487047
506	0.0002461651715
507	0.0002453710212
508	0.0002451057627
509	0.0002443410872
510	0.0002434723646
511	0.0002426209363
512	0.000241481069
513	0.0002403822706
514	0.0002393017486
515	0.0002382038281
516	0.0002373196972
517	0.0002361080966
518	0.0002354867085
519	0.000233413623
520	0.0002328696334
521	0.000232205689
522	0.0002309848802
523	0.0002304767615
524	0.0002300052862
525	0.0002293705106
526	0.0002286499405
527	0.0002276889495
528	0.0002269618162
529	0.0002258197438
530	0.000225477913
531	0.0002249522266
532	0.0002244406836
533	0.0002236028225
534	0.0002230411255
535	0.0002229333526
536	0.000222099503
537	0.0002213506867
538	0.0002191591311
539	0.0002183244604
540	0.000217692165
541	0.000216853706
542	0.0002160930036
543	0.0002156016355
544	0.0002148077134
545	0.0002140183394
546	0.000213091288
547	0.0002126704961
548	0.0002121139211
549	0.0002110250705
550	0.0002098795734
551	0.0002088223368
552	0.0002077855011
553	0.0002070552993
554	0.0002063850364
555	0.0002054828726
556	0.0002046937369
557	0.0002042033211
558	0.0002035527604
559	0.0002029426265
560	0.0002018724951
561	0.000201300213
562	0.0002002277777
563	0.0001993251382
564	0.0001985044482
565	0.000197901055
566	0.0001968730364
567	0.0001959222801
568	0.000195075205
569	0.000194522944
570	0.0001932417565
571	0.0001928189933
572	0.0001922909459
573	0.0001913192633
574	0.0001909296285
575	0.0001898102657
576	0.0001896085249
577	0.0001893872463
578	0.0001885493301
579	0.0001881317931
580	0.0001875827956
581	0.0001868064286
582	0.0001863024519
583	0.0001860683017
584	0.0001851827682
585	0.0001845946315
586	0.0001840409016
587	0.0001835065504
588	0.0001829174886
589	0.0001824286166
590	0.0001814684205
591	0.0001805789927
592	0.0001797943197
593	0.0001790009393
594	0.0001785142164
595	0.0001779014162
596	0.0001774609432
597	0.0001770349548
598	0.0001767485249
599	0.0001764222491
600	0.0001757201806
601	0.0001753231543
602	0.0001749318231
603	0.0001744569286
604	0.0001741704454
605	0.0001738528403
606	0.0001729745561
607	0.0001722165256
608	0.0001713370928
609	0.0001708252545
610	0.0001704360611
611	0.0001699087881
612	0.0001693926167
613	0.0001687989171
614	0.0001683084292
615	0.000167481595
616	0.0001671910885
617	0.0001663734818
618	0.0001654830889
619	0.0001649430196
620	0.0001644519348
621	0.0001641519566
622	0.0001638062133
623	0.0001630513219
624	0.0001627194689
625	0.0001622279736
626	0.0001619438337
627	0.000161448033
628	0.0001608161428
629	0.0001601850102
630	0.0001595929938
631	0.000159050491
632	0.0001584796536
633	0.0001577485037
634	0.0001574580572
635	0.0001570321045
636	0.0001567461426
637	0.0001560905472
638	0.0001554187026
639	0.0001552208144
640	0.0001549391822
641	0.0001547670961
642	0.000154238746
643	0.000153713904
644	0.0001532836289
645	0.0001524086834
646	0.0001515527846
647	0.0001508846477
648	0.000150474681
649	0.0001501210666
650	0.0001492341543
651	0.0001486022776
652	0.0001482643123
653	0.0001478036911
654	0.0001476153314
655	0.0001475304364
656	0.0001471123622
657	0.0001464314257
658	0.0001460166078
659	0.0001456922124
